"Date","Price","Open","High","Low","Vol.","Change %"
"16-06-2024","0.137119","0.136764","0.137510","0.134813","690.55M","0.26%"
"15-06-2024","0.136763","0.134989","0.137427","0.134231","954.65M","1.31%"
"14-06-2024","0.134999","0.141066","0.143355","0.132085","1.66B","-4.29%"
"13-06-2024","0.141053","0.146210","0.146421","0.140395","1.41B","-3.53%"
"12-06-2024","0.146211","0.138097","0.150475","0.134783","2.33B","5.87%"
"11-06-2024","0.138102","0.144760","0.145109","0.134090","2.12B","-4.60%"
"10-06-2024","0.144757","0.146798","0.147827","0.143356","932.14M","-1.39%"
"09-06-2024","0.146795","0.145898","0.149130","0.145057","817.38M","0.62%"
"08-06-2024","0.145895","0.148209","0.148692","0.143890","1.30B","-1.58%"
"07-06-2024","0.148234","0.160149","0.162103","0.142393","2.37B","-7.44%"
"06-06-2024","0.160149","0.163235","0.165473","0.158504","1.37B","-1.88%"
"05-06-2024","0.163225","0.161385","0.164745","0.161223","1.19B","1.14%"
"04-06-2024","0.161385","0.158384","0.161790","0.157104","1.11B","1.89%"
"03-06-2024","0.158384","0.157165","0.163350","0.155884","1.42B","0.77%"
"02-06-2024","0.157177","0.160314","0.161308","0.154822","887.98M","-1.96%"
"01-06-2024","0.160316","0.158970","0.161592","0.158429","723.74M","0.84%"
"31-05-2024","0.158988","0.159467","0.162414","0.154371","1.42B","-0.31%"
"30-05-2024","0.159481","0.163834","0.165635","0.156622","2.22B","-2.66%"
"29-05-2024","0.163836","0.164934","0.170558","0.162226","2.18B","-0.67%"
"28-05-2024","0.164947","0.169086","0.169675","0.161851","1.98B","-2.44%"
"27-05-2024","0.169070","0.166196","0.173278","0.164384","2.14B","1.74%"
"26-05-2024","0.166181","0.174017","0.174701","0.165670","1.89B","-4.43%"
"25-05-2024","0.173884","0.163808","0.174111","0.162759","1.97B","6.16%"
"24-05-2024","0.163800","0.159699","0.172666","0.155416","4.24B","2.56%"
"23-05-2024","0.159710","0.166296","0.169208","0.152849","3.16B","-3.96%"
"22-05-2024","0.166298","0.170355","0.174535","0.161875","2.80B","-2.39%"
"21-05-2024","0.170365","0.165773","0.173132","0.160884","3.75B","2.70%"
"20-05-2024","0.165888","0.149103","0.166184","0.147886","2.41B","11.25%"
"19-05-2024","0.149113","0.153051","0.155991","0.147838","1.18B","-2.57%"
"18-05-2024","0.153051","0.155554","0.156847","0.151399","1.13B","-1.60%"
"17-05-2024","0.155545","0.149703","0.156379","0.149397","1.75B","3.90%"
"16-05-2024","0.149705","0.155369","0.159079","0.148824","2.11B","-3.64%"
"15-05-2024","0.155367","0.145467","0.156878","0.145307","2.85B","6.79%"
"14-05-2024","0.145483","0.148624","0.155009","0.144332","2.95B","-2.10%"
"13-05-2024","0.148597","0.141219","0.157001","0.135943","3.76B","5.24%"
"12-05-2024","0.141200","0.143057","0.144437","0.139790","1.20B","-1.30%"
